🙂 slight_smile
🤘􁘣 metal_hmn_m3
🤘􁘤 metal_hmn_p1
🤘􁘥 metal_hmn_p2
🤘􁘦 metal_hmn_p3
🤘􁘧 metal_hmn_e1
🤘􁘨 metal_hmn_e2
🤘􁘩 metal_hmn_e3
🤘􁘪 metal_hmn_k1
🤘􁘫 metal_hmn_k2
🤘􁘬 metal_hmn_k3
🤘🏿 metal_hmn_h1
🤘🏾 metal_hmn_h2
🤘🏽 metal_hmn_h3
🤘🏼 metal_hmn_h4
🤘🏻 metal_hmn_h5
🖖 vulcan_hmn
🖖􁘀 vulcan_hmn_r1
🖖􁘁 vulcan_hmn_r2
🖖􁘂 vulcan_hmn_r3
🖖􁘃 vulcan_hmn_d1
🖖􁘄 vulcan_hmn_d2
🖖􁘅 vulcan_hmn_d3
🖖􁘆 vulcan_hmn_o1
🖖􁘇 vulcan_hmn_o2
🖖􁘈 vulcan_hmn_o3
🖖􁘉 vulcan_hmn_y1
🖖􁘊 vulcan_hmn_y2
🖖􁘋 vulcan_hmn_y3
🖖􁘌 vulcan_hmn_l1
🖖􁘍 vulcan_hmn_l2
🖖􁘎 vulcan_hmn_l3
🖖􁘏 vulcan_hmn_g1
🖖􁘐 vulcan_hmn_g2
🖖􁘑 vulcan_hmn_g3
🖖􁘒 vulcan_hmn_t1
🖖􁘓 vulcan_hmn_t2
🖖􁘔 vulcan_hmn_t3
🖖􁘕 vulcan_hmn_c1
🖖􁘖 vulcan_hmn_c2
🖖􁘗 vulcan_hmn_c3
🖖􁘘 vulcan_hmn_s1
🖖􁘙 vulcan_hmn_s2
🖖􁘚 vulcan_hmn_s3
🖖􁘛 vulcan_hmn_b1
🖖􁘜 vulcan_hmn_b2
🖖􁘝 vulcan_hmn_b3
🖖􁘞 vulcan_hmn_v1
🖖􁘟 vulcan_hmn_v2
🖖􁘠 vulcan_hmn_v3
🖖􁘡 vulcan_hmn_m1
🖖􁘢 vulcan_hmn_m2
🖖􁘣 vulcan_hmn_m3
🖖􁘤 vulcan_hmn_p1
🖖􁘥 vulcan_hmn_p2
🖖􁘦 vulcan_hmn_p3
🖖􁘧 vulcan_hmn_e1
🖖􁘨 vulcan_hmn_e2
🖖􁘩 vulcan_hmn_e3
🖖􁘪 vulcan_hmn_k1
🖖􁘫 vulcan_hmn_k2
🖖􁘬 vulcan_hmn_k3
🖖🏿 vulcan_hmn_h1
🖖🏾 vulcan_hmn_h2
🖖🏽 vulcan_hmn_h3
🖖🏼 vulcan_hmn_h4
🖖🏻 vulcan_hmn_h5
👍️ thumbs_up_hmn
👍️􁘀 thumbs_up_hmn_r1
👍️􁘁 thumbs_up_hmn_r2
👍️􁘂 thumbs_up_hmn_r3
👍️􁘃 thumbs_up_hmn_d1
👍️􁘄 thumbs_up_hmn_d2
👍️􁘅 thumbs_up_hmn_d3
👍️􁘆 thumbs_up_hmn_o1
👍️􁘇 thumbs_up_hmn_o2
👍️􁘈 thumbs_up_hmn_o3
👍️􁘉 thumbs_up_hmn_y1
👍️􁘊 thumbs_up_hmn_y2
👍️􁘋 thumbs_up_hmn_y3
👍️􁘌 thumbs_up_hmn_l1
👍️􁘍 thumbs_up_hmn_l2
👍️􁘎 thumbs_up_hmn_l3
👍️􁘏 thumbs_up_hmn_g1
👍️􁘐 thumbs_up_hmn_g2
👍️􁘑 thumbs_up_hmn_g3
👍️􁘒 thumbs_up_hmn_t1
👍️􁘓 thumbs_up_hmn_t2
👍️􁘔 thumbs_up_hmn_t3
